lemma,kind,level,category,translation_zh,keep,review_note
tener sueño,idiom,A1,everyday,困了,0,AUTO-DROP: 与 collocation 重复
dar un abrazo,idiom,A1,everyday,拥抱,0,AUTO-DROP: 与 collocation 重复
estar de vuelta,idiom,A1,everyday,回来了,1,
hacer las paces,idiom,A2,everyday,和好,1,
tener hambre,idiom,A1,everyday,饿了,0,AUTO-DROP: 与 collocation 重复
dar un consejo,idiom,A1,everyday,给建议,1,
estar de broma,idiom,A2,everyday,开玩笑,1,
hacer el ridículo,idiom,A2,everyday,出洋相,1,
tener la culpa,idiom,A2,everyday,有错，怪,0,AUTO-DROP: 与 collocation 重复
dar la bienvenida,idiom,A1,everyday,欢迎,0,AUTO-DROP: 与 collocation 重复 | REVIEW: 与 bienvenido 同译
estar de mal humor,idiom,A1,everyday,心情不好,1,
hacer un favor,idiom,A1,everyday,帮个忙,1,
tener éxito,idiom,A2,everyday,成功,0,AUTO-DROP: 与 collocation 重复
hacer una pregunta,idiom,A1,everyday,提问,1,
tener miedo,idiom,A1,everyday,害怕,0,"AUTO-DROP: 与 collocation 重复 | REVIEW: 与 dar miedo, tener miedo de 同译"
dar un salto,idiom,A1,everyday,跳一下,1,
estar de fiesta,idiom,A1,everyday,在聚会,1,
dar en el clavo,idiom,A2,idiom,说到点子上,1,
estar en las nubes,idiom,A2,idiom,心不在焉,1,
costar un ojo de la cara,idiom,A2,idiom,价格昂贵,1,REVIEW: 长度可能超 A2，请确认难度
no dar pie con bola,idiom,A2,idiom,一事无成,1,
poner cara de póker,idiom,A2,idiom,面无表情,1,
quedarse de piedra,idiom,A2,idiom,目瞪口呆,1,
sacar las castañas del fuego,idiom,A2,idiom,替人解围,1,REVIEW: 长度可能超 A2，请确认难度
tener mala leche,idiom,A2,idiom,脾气坏,1,
ver todo de color de rosa,idiom,A2,idiom,乐观看待,1,REVIEW: 长度可能超 A2，请确认难度
andar con rodeos,idiom,A2,idiom,拐弯抹角,1,
estar al loro,idiom,A2,idiom,注意,1,"REVIEW: 与 atención, fijarse en, hacer caso, poner atención 同译"
hacer buenas migas,idiom,A2,idiom,相处融洽,1,
irse la olla,idiom,A2,idiom,糊涂,1,
no pegar ojo,idiom,A2,idiom,睡不着,1,
poner el grito en el cielo,idiom,A2,idiom,大声抗议,1,REVIEW: 长度可能超 A2，请确认难度
quedarse en blanco,idiom,A2,idiom,脑子一片空白,1,
ser un cero a la izquierda,idiom,A2,idiom,无足轻重,1,REVIEW: 长度可能超 A2，请确认难度
tener mano izquierda,idiom,A2,idiom,有手腕,1,
venir como anillo al dedo,idiom,A2,idiom,恰到好处,1,REVIEW: 长度可能超 A2，请确认难度
abrir la caja de los truenos,idiom,A2,idiom,引发麻烦,1,REVIEW: 长度可能超 A2，请确认难度
caer como un jarro de agua fría,idiom,A2,idiom,泼冷水,1,REVIEW: 长度可能超 A2，请确认难度
dar la vuelta a la tortilla,idiom,A2,idiom,扭转局面,1,REVIEW: 长度可能超 A2，请确认难度
estar en el ajo,idiom,A2,idiom,参与其中,1,
hacer de tripas corazón,idiom,A2,idiom,鼓起勇气,1,REVIEW: 长度可能超 A2，请确认难度
irse al traste,idiom,A2,idiom,失败,1,
no tener ni idea,idiom,A2,idiom,一无所知,1,
poner los puntos sobre las íes,idiom,A2,idiom,明确说明,1,REVIEW: 长度可能超 A2，请确认难度
quitarse un peso de encima,idiom,A2,idiom,如释重负,1,REVIEW: 长度可能超 A2，请确认难度
ser la oveja negra,idiom,A2,idiom,害群之马,1,
tener la sartén por el mango,idiom,A2,idiom,掌握主动权,1,REVIEW: 长度可能超 A2，请确认难度
a buenas horas,idiom,A2,idiom,太晚了,1,
dar la cara,idiom,A2,idiom,面对,1,
estar como una cabra,idiom,A2,idiom,疯了,1,
hacer el agosto,idiom,A2,idiom,大赚一笔,1,
irse de la lengua,idiom,A2,idiom,说漏嘴,1,
no dar crédito,idiom,A2,idiom,难以置信,1,
poner toda la carne en el asador,idiom,A2,idiom,全力以赴,1,REVIEW: 长度可能超 A2，请确认难度
saber de buena tinta,idiom,A2,idiom,从可靠渠道得知,1,
tener un humor de perros,idiom,A2,idiom,心情很糟,1,REVIEW: 长度可能超 A2，请确认难度
estar en la luna,idiom,A2,idiomatic,走神,1,
ser la leche,idiom,A2,idiomatic,太棒了/太糟了,1,
echar un vistazo,idiom,A1,idiomatic,看一眼,0,AUTO-DROP: 与 collocation 重复
ser un trozo de pan,idiom,A2,idiomatic,心地善良,1,
poner el dedo en la llaga,idiom,A2,idiomatic,触及痛处,1,REVIEW: 长度可能超 A2，请确认难度
ser un lince,idiom,A2,idiomatic,眼尖,1,
no ver tres en un burro,idiom,A2,idiomatic,视力差,1,REVIEW: 长度可能超 A2，请确认难度
poner una pica en flandes,idiom,A2,idiomatic,完成壮举,1,REVIEW: 长度可能超 A2，请确认难度
ser un paquete,idiom,A2,idiomatic,笨手笨脚,1,
tener la cabeza llena de pájaros,idiom,A2,idiomatic,异想天开,1,REVIEW: 长度可能超 A2，请确认难度
dar gato por liebre,idiom,A2,idiomatic,以次充好,1,
ser un gallina,idiom,A2,idiomatic,胆小,1,
no tener abuela,idiom,A2,idiomatic,自夸,1,
